cell_index,lon_min,lon_max,lat_min,lat_max,ray_count,phase_velocity_km_s
379,-122.1499999999999,-122.1399999999999,46.199999999999974,46.20999999999997,2373.0,2.8120471902916395
380,-122.1399999999999,-122.1299999999999,46.199999999999974,46.20999999999997,2431.0,2.8135792053629207
381,-122.1299999999999,-122.11999999999989,46.199999999999974,46.20999999999997,2199.0,2.859317779860786
382,-122.11999999999989,-122.10999999999989,46.199999999999974,46.20999999999997,1994.0,2.892564499643553
383,-122.10999999999989,-122.09999999999988,46.199999999999974,46.20999999999997,2208.0,2.914526612348851
384,-122.09999999999988,-122.08999999999988,46.199999999999974,46.20999999999997,2104.0,2.9009984480647315
385,-122.08999999999988,-122.07999999999987,46.199999999999974,46.20999999999997,1363.0,2.8370728243211927
386,-122.07999999999987,-122.06999999999987,46.199999999999974,46.20999999999997,536.0,2.8221931640473934
387,-122.06999999999987,-122.05999999999986,46.199999999999974,46.20999999999997,288.0,2.8178655867734745
388,-122.05999999999986,-122.04999999999986,46.199999999999974,46.20999999999997,84.0,2.8383486251922947
389,-122.04999999999986,-122.03999999999985,46.199999999999974,46.20999999999997,0.0,2.8398899990614956
390,-122.34,-122.33,46.20999999999997,46.21999999999997,0.0,2.8279445633155844
391,-122.33,-122.32,46.20999999999997,46.21999999999997,5.0,2.829943097686124
392,-122.32,-122.30999999999999,46.20999999999997,46.21999999999997,8.0,2.839737538964898
393,-122.30999999999999,-122.29999999999998,46.20999999999997,46.21999999999997,56.0,2.8553550793570484
394,-122.29999999999998,-122.28999999999998,46.20999999999997,46.21999999999997,202.0,2.8622343765769283
395,-122.28999999999998,-122.27999999999997,46.20999999999997,46.21999999999997,442.0,2.8924107936586294
396,-122.27999999999997,-122.26999999999997,46.20999999999997,46.21999999999997,961.0,2.9135133686438413
397,-122.26999999999997,-122.25999999999996,46.20999999999997,46.21999999999997,976.0,2.8688377978947104
398,-122.25999999999996,-122.24999999999996,46.20999999999997,46.21999999999997,1063.0,2.8278996778795924
399,-122.24999999999996,-122.23999999999995,46.20999999999997,46.21999999999997,1266.0,2.824443363118284
400,-122.23999999999995,-122.22999999999995,46.20999999999997,46.21999999999997,1515.0,2.787497407970914
401,-122.22999999999995,-122.21999999999994,46.20999999999997,46.21999999999997,1657.0,2.7660458391323814
402,-122.21999999999994,-122.20999999999994,46.20999999999997,46.21999999999997,1742.0,2.754182242176751
403,-122.20999999999994,-122.19999999999993,46.20999999999997,46.21999999999997,1707.0,2.763618014218712
404,-122.19999999999993,-122.18999999999993,46.20999999999997,46.21999999999997,1797.0,2.7891124104589786
405,-122.18999999999993,-122.17999999999992,46.20999999999997,46.21999999999997,2069.0,2.8096784489629005
406,-122.17999999999992,-122.16999999999992,46.20999999999997,46.21999999999997,2057.0,2.8345019540339407
407,-122.16999999999992,-122.15999999999991,46.20999999999997,46.21999999999997,1878.0,2.846939362019041
408,-122.15999999999991,-122.1499999999999,46.20999999999997,46.21999999999997,1909.0,2.785280344453636
409,-122.1499999999999,-122.1399999999999,46.20999999999997,46.21999999999997,2109.0,2.802460098164315
410,-122.1399999999999,-122.1299999999999,46.20999999999997,46.21999999999997,2197.0,2.856776110080194
411,-122.1299999999999,-122.11999999999989,46.20999999999997,46.21999999999997,2289.0,2.939192510405266
412,-122.11999999999989,-122.10999999999989,46.20999999999997,46.21999999999997,2138.0,2.939995439384275
413,-122.10999999999989,-122.09999999999988,46.20999999999997,46.21999999999997,1875.0,2.899126914593793
414,-122.09999999999988,-122.08999999999988,46.20999999999997,46.21999999999997,1900.0,2.832223761885775
415,-122.08999999999988,-122.07999999999987,46.20999999999997,46.21999999999997,1641.0,2.7742133649628458
416,-122.07999999999987,-122.06999999999987,46.20999999999997,46.21999999999997,977.0,2.772666906185677
417,-122.06999999999987,-122.05999999999986,46.20999999999997,46.21999999999997,616.0,2.789431770559072
418,-122.05999999999986,-122.04999999999986,46.20999999999997,46.21999999999997,438.0,2.7995676691133213
419,-122.04999999999986,-122.03999999999985,46.20999999999997,46.21999999999997,0.0,2.8129536655716008
420,-122.34,-122.33,46.21999999999997,46.22999999999997,0.0,2.875427961743655
421,-122.33,-122.32,46.21999999999997,46.22999999999997,5.0,2.887082971155571
422,-122.32,-122.30999999999999,46.21999999999997,46.22999999999997,34.0,2.9174781665443703
